code;link;address;barrio;distrito;ciudad;lat;lon;price;area;has_elevator;floor;exterior;rooms
92108754;https://www.idealista.com/inmueble/92108754/;Calle de San Pedro de Cardeña;Barrio Apóstol Santiago;Distrito Hortaleza;Madrid;40.4750247;-3.6601331;149000;76;False;4.0;True;3
93133635;https://www.idealista.com/inmueble/93133635/;Calle de Isla de la Gomera;Barrio Berruguete;Distrito Tetuán;Madrid;40.4612176;-3.7090021;139900;65;False;;;2
92058112;https://www.idealista.com/inmueble/92058112/;Calle del Jazmín;Barrio Costillares;Distrito Ciudad Lineal;Madrid;40.4833363;-3.6641053;150000;75;True;;True;3
92658995;https://www.idealista.com/inmueble/92658995/;Plaza Nuestra Señora del Tránsito;Barrio Canillas;Distrito Hortaleza;Madrid;40.4611391;-3.6503598;139000;61;False;2.0;True;2
92218793;https://www.idealista.com/inmueble/92218793/;Calle Miosotis;Barrio Valdeacederas;Distrito Tetuán;Madrid;40.463391;-3.7040712;123500;80;;;;3
93441860;https://www.idealista.com/inmueble/93441860/;Av. de San Luis;Barrio Pinar del Rey;Distrito Hortaleza;Madrid;40.4711266;-3.6536544;150000;60;False;2.0;True;2
92105952;https://www.idealista.com/inmueble/92105952/;"Calle de Gomeznarro, 64";Barrio Canillas;Distrito Hortaleza;Madrid;40.4601587;-3.651383;149000;61;False;3.0;True;3
91397009;https://www.idealista.com/inmueble/91397009/;;Barrio Valdeacederas;Distrito Tetuán;Madrid;40.4703071;-3.7051434;149000;67;False;2.0;True;1
93186056;https://www.idealista.com/inmueble/93186056/;;Barrio Apóstol Santiago;Distrito Hortaleza;Madrid;;;149000;75;False;4.0;True;3
93084388;https://www.idealista.com/inmueble/93084388/;Calle de San Pedro de Cardeña;Barrio Apóstol Santiago;Distrito Hortaleza;Madrid;40.4757964;-3.6620382;149000;80;True;4.0;True;3
93483813;https://www.idealista.com/inmueble/93483813/;Avenida de San Luis;Barrio Pinar del Rey;Distrito Hortaleza;Madrid;40.4707437;-3.6561999;145000;72;False;4.0;True;3
89928575;https://www.idealista.com/inmueble/89928575/;Calle Nenúfar;Barrio Berruguete;Distrito Tetuán;Madrid;40.4613717;-3.7011407;149000;127;False;3.0;True;
92925714;https://www.idealista.com/inmueble/92925714/;Calle de San Raimundo;Barrio Bellas Vistas;Distrito Tetuán;Madrid;40.4517764;-3.7079514;110000;60;False;;True;1
93118767;https://www.idealista.com/inmueble/93118767/;Calle de Sánchez Preciado;Barrio Valdezarza;Distrito Moncloa;Madrid;40.4603112;-3.7120433;140000;60;False;;True;2
92085163;https://www.idealista.com/inmueble/92085163/;Calle de Hernani;Barrio Cuatro Caminos;Distrito Tetuán;Madrid;40.4477873;-3.7039197;125000;65;False;;True;2
91447125;https://www.idealista.com/inmueble/91447125/;Calle de San Pedro de Cardeña;Barrio Apóstol Santiago;Distrito Hortaleza;Madrid;40.4753278;-3.6627029;149000;74;False;4.0;True;3
92648039;https://www.idealista.com/inmueble/92648039/;Calle Nuestra Señora del Carmen;Barrio Berruguete;Distrito Tetuán;Madrid;40.4611617;-3.7049157;109000;109;False;;;3
92561450;https://www.idealista.com/inmueble/92561450/;Calle Nuestra Señora del Carmen;Barrio Berruguete;Distrito Tetuán;Madrid;40.4605617;-3.7045157;109000;109;False;;True;3
93396781;https://www.idealista.com/inmueble/93396781/;Calle Vélez Blanco;Barrio Apóstol Santiago;Distrito Hortaleza;Madrid;40.4782204;-3.6643472;130000;61;False;3.0;True;3
93251350;https://www.idealista.com/inmueble/93251350/;Calle de Matilde Landa;Barrio Ventilla-Almenara;Distrito Tetuán;Madrid;;;120000;64;False;;True;2
88780582;https://www.idealista.com/inmueble/88780582/;;Barrio Valdeacederas;Distrito Tetuán;Madrid;40.4668692;-3.7022428;101000;77;False;2.0;True;2
91685658;https://www.idealista.com/inmueble/91685658/;"Calle de Martínez, 15";Barrio Berruguete;Distrito Tetuán;Madrid;40.4593396;-3.7033749;150000;70;False;0.5;True;2
88311185;https://www.idealista.com/inmueble/88311185/;"Calle tenerife, 39";Barrio Bellas Vistas;Distrito Tetuán;Madrid;;;129000;65;False;;True;1
92653468;https://www.idealista.com/inmueble/92653468/;;Barrio Canillas;Distrito Hortaleza;Madrid;40.4611587;-3.651183;149000;61;False;3.0;True;3
92750345;https://www.idealista.com/inmueble/92750345/;"Calle Azagra, 7";Barrio Pinar del Rey;Distrito Hortaleza;Madrid;40.4748064;-3.646784;144000;60;False;4.0;True;2
92702395;https://www.idealista.com/inmueble/92702395/;Calle de Lope de Haro;Barrio Berruguete;Distrito Tetuán;Madrid;40.4585632;-3.7015053;149000;62;;;;1
